Warehouse Name,Status,Location,Price per SqFt,Total Square Footage,Total Price,Age of Warehouse,Distance to Highways (miles),Distance to Ports/Airports (miles),NOI,Cap Rate (%),Year of Last Renovation,Number of Loading Docks,Clear Height (ft),Parking and Storage Capacity,Warehouse Type,Zoning Regulations,Environmental Concerns,Neighboring Land Use,Condition of Property,Security Features,Energy Efficiency Features
Warehouse 52,Sold,Fall River,161.77257997138946,367130,59391567.28489621,3,1.7982925960380645,8.657901767939034,707670.4473057414,11.692902067466266,2000,31,27.79221980235127,471,Cold Storage,Mixed-Use,None,Mixed-Use,Good,Basic,Solar Panels
Warehouse 53,Sold,Boston,189.71482006591214,199488,37845830.02530868,63,0.9558383421520956,11.78434516669794,400219.57380818704,10.200654402712953,1988,16,36.73954483933616,59,Dry Storage,Industrial,Protected Area,Residential,Poor,High,None
Warehouse 54,Sold,Lowell,182.1206495727003,168268,30645077.462299135,19,13.370646544963341,26.395532645934672,598633.7126149912,8.975493870053674,1982,10,35.19682016245038,184,Flex Space,Commercial,None,Industrial,Fair,Basic,None
Warehouse 55,Sold,Springfield,131.64299639788447,395530,52068754.365255244,23,16.483857653432285,35.795623550526685,942271.897888342,8.854343166570693,1982,29,10.713351607744933,311,Dry Storage,Mixed-Use,Mild Pollution,Mixed-Use,Poor,Moderate,Insulated
Warehouse 56,Sold,Cambridge,186.71861995392987,272770,50931237.96483345,29,15.662105165166047,5.6907236824754674,977002.4179431907,10.7957592126693,1978,6,31.646462364026338,193,Dry Storage,Commercial,Mild Pollution,Residential,Good,High,Insulated
Warehouse 57,Sold,Lawrence,45.043725348826314,143496,6463594.41265518,30,10.921733984538122,16.567040179810945,1576850.451127044,8.329630126170386,2018,29,13.539475827960562,194,Cold Storage,Industrial,Protected Area,Industrial,Poor,Basic,Green Roof
Warehouse 58,Sold,Lynn,63.31708661125468,280001,17728847.568237923,39,2.0873497406099455,48.4650556731435,1512798.7973914493,10.430879089990581,2019,17,11.055344720221534,348,Dry Storage,Industrial,High Pollution,Residential,Good,Basic,Green Roof
Warehouse 59,Sold,Lawrence,37.68863911479147,246531,9291417.889608657,25,13.792084432336674,13.85480537226634,940794.7188844637,8.071082041393966,1980,22,41.64788648338793,316,Distribution Center,Industrial,Mild Pollution,Residential,Fair,High,Solar Panels
Warehouse 60,Sold,Quincy,85.30615622975495,251693,21470962.37993571,8,4.913588782727504,16.339457108094198,1699051.330742604,4.499554199791393,1980,24,20.34599448637202,319,Cold Storage,Industrial,None,Industrial,Fair,Basic,Insulated
Warehouse 61,Sold,Lawrence,96.07513924721194,418198,40178431.08290554,58,18.230267185070932,41.98842604028364,272762.4202532219,7.071576071233242,1995,17,23.62620309149197,355,Dry Storage,Mixed-Use,High Pollution,Mixed-Use,Good,Moderate,None
Warehouse 62,Sold,Lynn,76.12933540156232,475177,36174909.20810818,16,16.781480654959527,3.4605071528323075,547939.032946358,7.55552766137199,2001,21,12.563383504162648,90,Flex Space,Commercial,None,Industrial,Good,Moderate,Green Roof
Warehouse 63,Sold,Cambridge,170.88537655582797,400196,68387644.15613613,72,14.216721045039078,23.766045271639573,1664554.1038293904,5.132937959892938,1959,11,17.180010419774025,383,Distribution Center,Mixed-Use,None,Mixed-Use,Good,High,Solar Panels
Warehouse 64,Sold,Quincy,90.64806553791018,184362,16712058.658700198,1,18.982034521039495,19.601221458131842,787088.3753209986,4.8199706335137025,2023,7,40.62419273031169,165,Flex Space,Industrial,Mild Pollution,Residential,Fair,Basic,Solar Panels
Warehouse 65,Sold,Lowell,77.75886664685473,31431,2444038.937577291,5,0.7252942480743312,16.512751235523908,1963304.0396479922,8.283719597255633,1990,42,29.741233209304838,284,Distribution Center,Industrial,Protected Area,Residential,Good,Basic,None
Warehouse 66,Sold,Cambridge,122.25833413690223,352120,43049604.61628602,3,14.750388458709162,14.999280108193462,959193.8989792791,4.681149092448657,1952,39,45.22673850200594,292,Flex Space,Industrial,Protected Area,Residential,Fair,Moderate,Green Roof
Warehouse 67,Sold,Lawrence,53.95711824570965,243360,13131004.2962759,65,6.671831308794466,5.477331138160051,1594274.46477934,6.423561343120672,2008,5,25.889685258673406,441,Dry Storage,Industrial,None,Mixed-Use,Poor,High,None
Warehouse 68,Sold,Springfield,166.37348672818675,349855,58206596.19928978,4,18.13071112515867,16.426465638230795,834498.7306956253,9.956775807704608,2001,44,20.748029430170728,258,Distribution Center,Commercial,Mild Pollution,Industrial,Fair,High,Solar Panels
Warehouse 69,Sold,Cambridge,42.67360942556104,31385,1339311.2318212332,99,5.4068364135733535,3.10956773306776,878659.3621717392,11.715457436543847,1983,48,23.90399257834604,156,Cold Storage,Industrial,None,Mixed-Use,Poor,High,Insulated
Warehouse 70,Sold,Lawrence,197.77077922208795,436374,86302026.01225941,96,14.524644336368839,39.26722931857733,796622.1372041578,9.742964644415428,1998,21,38.51087174067618,490,Cold Storage,Commercial,High Pollution,Residential,Fair,Moderate,None
Warehouse 71,Sold,Springfield,161.28161078043175,421235,67937459.31709516,64,17.56517569105055,20.51316190394257,1452197.4599960828,11.94100438762296,1977,18,32.200226893379444,444,Flex Space,Industrial,None,Residential,Fair,Moderate,Solar Panels
Warehouse 72,Sold,Cambridge,63.78166586080931,285783,18227715.81469967,98,0.9289706858153802,22.751287783675668,1117659.8739169892,9.586703770235221,1962,35,46.16764830209711,16,Flex Space,Commercial,Mild Pollution,Industrial,Good,High,Insulated
Warehouse 73,Sold,Newton,30.938759911012408,90530,2800885.9347439534,89,8.013186833881518,44.78613473605645,1890367.3171683198,6.35035576523462,2018,20,34.08675077555533,166,Flex Space,Commercial,None,Mixed-Use,Fair,High,Insulated
Warehouse 74,Sold,Cambridge,168.6284428373218,235983,39793445.82607971,10,15.269949737236578,33.244694209199814,539236.1172415044,9.376420324042895,2016,15,29.720728339260127,180,Distribution Center,Industrial,Mild Pollution,Residential,Good,Basic,Green Roof
Warehouse 75,Sold,Brockton,150.1657484540949,288707,43353902.73893638,21,9.152885901200982,1.3948960637638697,246097.32756271647,9.61725412157523,2010,5,41.430108955469315,78,Cold Storage,Mixed-Use,Protected Area,Mixed-Use,Good,Basic,Green Roof
Warehouse 76,Sold,Lynn,153.93121856696786,437557,67353682.20250675,46,5.418327332892546,47.21556632510296,816859.8959434697,6.973815876931685,2009,13,47.90135402933781,103,Dry Storage,Mixed-Use,Mild Pollution,Mixed-Use,Good,High,Solar Panels
Warehouse 77,Sold,Boston,161.11595893661078,382816,61677766.93627759,91,4.474126441581481,12.620078832907849,1252589.779911213,4.141710804875112,2020,12,24.233836449798822,378,Distribution Center,Mixed-Use,High Pollution,Industrial,Fair,Moderate,None
Warehouse 78,Sold,Lawrence,42.58759079479536,403992,17205045.98037097,27,2.7172135116359204,6.273095053233083,1728557.9269852154,9.625598278203896,1973,21,19.995048406619105,372,Flex Space,Mixed-Use,Mild Pollution,Industrial,Good,Moderate,Insulated
Warehouse 79,Sold,Fall River,90.93917385252635,434660,39527621.30673911,66,17.156878241140017,38.63828074066323,725083.929026639,4.173600762204333,2012,37,34.64869585176557,385,Cold Storage,Mixed-Use,High Pollution,Residential,Poor,Basic,Green Roof
Warehouse 80,Sold,Brockton,49.697740119272055,467132,23215404.737395793,41,11.549572524705964,25.52338847746919,1324884.1646927001,9.04950462448057,2010,6,29.95491284615524,195,Flex Space,Industrial,High Pollution,Industrial,Poor,High,Green Roof
Warehouse 81,Sold,Boston,176.7275823988509,406927,71915224.9228172,13,1.620060405329974,22.254757734882862,732887.4279952771,5.308931909940441,1972,7,49.56742299459134,401,Dry Storage,Industrial,None,Mixed-Use,Fair,Moderate,None
Warehouse 82,Sold,Brockton,135.96068156068486,210390,28604767.793552488,9,7.713348439055644,13.225650904454346,1253578.1868391933,8.524828221984347,1979,26,28.494471365909334,179,Dry Storage,Industrial,High Pollution,Industrial,Good,Moderate,Green Roof
Warehouse 83,Sold,Worcester,86.25266422495037,350114,30198265.28245427,36,7.417899651021686,27.826103003253614,1775375.4967097694,8.031304203044801,2009,42,12.973262054413834,213,Cold Storage,Industrial,Mild Pollution,Mixed-Use,Poor,Moderate,Solar Panels
Warehouse 84,Sold,Quincy,40.804919548624014,248373,10134840.283050392,86,3.7166098951183133,14.444845654926786,501147.4024058476,4.108109138449461,1967,48,49.09476243110544,51,Distribution Center,Industrial,Protected Area,Residential,Fair,Moderate,None
Warehouse 85,Sold,Newton,82.86699469166257,352697,29226940.42676531,90,8.766601746896594,45.177567259066315,838271.2021087264,6.902926535960828,2005,8,43.7434778237416,22,Dry Storage,Industrial,Mild Pollution,Mixed-Use,Fair,Basic,Insulated
Warehouse 86,Sold,Springfield,85.281164744547,166779,14223107.374930805,58,6.708777371323414,11.545019506926447,1986867.1330380058,8.808729339170423,2002,9,17.130005758318532,163,Dry Storage,Commercial,Protected Area,Industrial,Fair,Moderate,Solar Panels
Warehouse 87,Sold,Fall River,154.0330503174709,175182,26983817.820715185,54,6.901893739294431,44.333402372331925,1743686.2050864485,10.788852415190238,1956,27,46.18421012451477,283,Dry Storage,Commercial,High Pollution,Industrial,Fair,Moderate,Insulated
Warehouse 88,Sold,Brockton,138.38477013038624,197860,27380810.617998224,12,14.806628499980377,28.41086586064049,1151047.7228975939,11.109136910692138,2018,4,23.626672832869783,307,Dry Storage,Industrial,None,Residential,Fair,High,Insulated
Warehouse 89,Sold,Brockton,180.8261662379755,87879,15890822.66282705,81,4.542941371553406,41.59591856086681,1057423.804115837,7.870799760265786,2021,21,25.08447938137778,60,Flex Space,Industrial,High Pollution,Industrial,Good,High,Green Roof
Warehouse 90,Sold,Lowell,110.27653727753138,437043,48195588.681384146,78,12.873013181221571,35.929453797186795,604970.745494128,9.827379898395506,2001,31,46.25565929448637,378,Flex Space,Commercial,High Pollution,Residential,Good,Basic,Solar Panels
Warehouse 91,Sold,Cambridge,50.331021809511284,243260,12243524.365381716,14,11.455927515230602,35.13806046040068,1058558.3840023824,6.531636612267661,1953,21,31.204622601412613,221,Distribution Center,Commercial,Protected Area,Residential,Good,Basic,Solar Panels
Warehouse 92,Sold,Worcester,151.25161382790915,403871,61086140.5282915,34,11.405040995523558,16.89294457705773,1703953.921645897,6.7374912460692595,1983,40,15.510517175940786,153,Cold Storage,Industrial,Mild Pollution,Industrial,Good,Basic,None
Warehouse 93,Sold,Fall River,159.33345826487258,312003,49712516.97901504,53,13.29384618822134,12.46094964213797,1386090.300891672,5.55570815345851,2018,25,24.762246373672163,366,Cold Storage,Commercial,None,Mixed-Use,Fair,Basic,Solar Panels
Warehouse 94,Sold,Fall River,125.41712358681436,451841,56668598.53858978,20,11.012802520293512,11.333425156358619,615585.8549470739,8.495584879945914,1982,39,38.88389785071523,12,Cold Storage,Mixed-Use,None,Residential,Fair,Moderate,None
Warehouse 95,Sold,Quincy,161.06442059227535,319242,51418527.75871917,75,17.597176785443054,43.00239119591984,442854.64605438925,6.516513207418922,2018,15,16.967367522720668,263,Dry Storage,Mixed-Use,None,Mixed-Use,Poor,High,Solar Panels
Warehouse 96,Sold,Fall River,113.94525138194642,151323,17242537.274870276,16,13.54404382981017,41.20091419269198,567156.6471438168,4.67496717150804,1987,35,33.60924789625435,484,Flex Space,Mixed-Use,None,Industrial,Poor,Moderate,Insulated
Warehouse 97,Sold,New Bedford,118.86458099493899,127413,15144892.85830816,95,10.984568702290623,22.58810287260306,381030.4427160117,9.48004869330543,1975,49,37.81096531777668,344,Flex Space,Commercial,Mild Pollution,Mixed-Use,Good,Moderate,None
Warehouse 98,Sold,Fall River,102.68197312095344,267670,27484883.745285608,70,16.612286093724133,7.487826061326276,236499.3572462461,9.662025660843184,1950,43,23.75414302170317,265,Distribution Center,Industrial,None,Mixed-Use,Fair,Moderate,Solar Panels
Warehouse 99,Sold,Brockton,34.321251546496185,335904,11528645.679474255,56,12.162316642176245,19.73036034689546,867315.5401620072,6.879939350232463,1953,41,37.7552275483329,107,Cold Storage,Industrial,Protected Area,Mixed-Use,Poor,High,None
Warehouse 100,Sold,New Bedford,48.341542588861756,52837,2554222.0857676887,83,5.893770530925061,31.347829252708657,270934.228576622,4.613787195648182,1988,37,45.36829407317275,182,Flex Space,Industrial,Protected Area,Mixed-Use,Poor,Basic,Green Roof
Warehouse 101,Sold,Lawrence,35.34296156674482,265550,9385323.444049086,58,4.221188871713767,23.26575456951769,385229.4875678535,7.410381739227407,2003,42,28.884669769329637,159,Distribution Center,Commercial,None,Industrial,Poor,Basic,Green Roof
Warehouse 102,Sold,Boston,138.18976991484266,278680,38510725.079868354,4,3.131322934687308,39.22927415566675,1117283.134461998,7.538683664401724,1982,47,25.316373127191426,497,Cold Storage,Commercial,None,Industrial,Poor,High,None
Warehouse 103,Sold,Cambridge,83.44051678297554,33541,2798678.3734177826,4,17.99915872966742,49.88351829031789,370968.58371417073,9.349367079183143,1982,28,20.046336054331427,288,Dry Storage,Mixed-Use,Mild Pollution,Mixed-Use,Good,High,None
Warehouse 104,Sold,New Bedford,116.45701749799947,84083,9792055.402284289,20,14.231695092781509,10.365472333995946,174565.54649026055,6.523331130069468,2021,14,34.16821919453217,68,Flex Space,Commercial,Mild Pollution,Industrial,Fair,Basic,Insulated
Warehouse 105,Sold,Boston,184.2863005674358,449243,82789330.52581656,10,18.753830919469983,23.52289016331905,668908.2575543761,9.460794238250443,1969,4,45.19408192154864,455,Flex Space,Mixed-Use,None,Industrial,Good,Moderate,Solar Panels
Warehouse 106,Sold,Worcester,72.37967895530875,39531,2861241.08878231,24,12.105506933727364,22.11821119412028,479622.2423128367,10.971908334059107,1965,20,22.98645068740776,122,Cold Storage,Mixed-Use,Mild Pollution,Residential,Poor,Basic,Green Roof
Warehouse 107,Sold,Lynn,99.76509691605706,275856,27520800.574875835,99,9.520677541748759,15.92013410469859,1054845.1165890347,5.899888338897599,1970,34,25.849420981492138,333,Dry Storage,Industrial,High Pollution,Industrial,Poor,High,Green Roof
Warehouse 108,Sold,Lawrence,158.44369355231828,371245,58821429.0128304,26,1.2883581305206975,10.70668031929419,249615.81493725817,11.831356448959198,1994,12,26.265020701999354,252,Dry Storage,Commercial,None,Mixed-Use,Fair,Basic,Solar Panels
Warehouse 109,Sold,Springfield,68.89568813357582,332599,22914636.97753918,37,13.465681402765991,4.218913707993302,1515953.0359818074,7.090945097094456,2011,33,32.43249367110069,319,Flex Space,Industrial,Mild Pollution,Industrial,Fair,Basic,Green Roof
Warehouse 110,Sold,Brockton,43.08658467089481,79744,3435896.6079958356,85,11.685954319387799,44.46884654396122,1817155.3628985204,6.138069481176494,1980,24,19.136358462697544,66,Cold Storage,Industrial,Protected Area,Industrial,Good,Basic,Green Roof
Warehouse 111,Sold,New Bedford,79.25774699534057,257859,20437323.382471524,54,19.805156982393665,21.572586186629565,1499698.5892145792,7.372089460082324,1991,20,42.88844621230817,498,Distribution Center,Commercial,None,Industrial,Fair,High,None
Warehouse 112,Sold,Lynn,57.40761883318075,134749,7735619.230152273,21,4.8592596778666355,25.347880406502394,1089012.7229327187,4.755179807230873,1961,5,21.82409110016885,416,Flex Space,Commercial,None,Industrial,Good,High,Green Roof
